tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	full
105463	696	42.55	34758	53	2	Mate in 2	https://lichess.org/analysis/2k3r1/pbp2p2/1p1bp3/8/8/2QB4/q4PPP/2RR2K1_w_-_-	Mate in 2	17	28. Bc4 Rxg2+ 29. Kf1 Qxf2#
122316	612	42.1	37678	60	2	Hanging Piece	https://lichess.org/analysis/rnbqk2r/pppp1ppp/5n2/b2Np3/1P2P3/8/P1PP1PPP/R1BQKBNR_b_KQkq_-	Hanging Piece	17	5. ... c6 6. Nxf6+ Qxf6 7. bxa5
84758	841	43.98	48190	53	2	Hanging Piece,Remove the Defender	https://lichess.org/analysis/3r1rk1/pp4pp/2n1p3/2bnN3/4pP2/P1N4P/1PP3P1/2BR1R1K_b_-_-	Remove the Defender	18	16. ... Bd4 17. Nxc6 bxc6 18. Rxd4
38613	715	43.6	53854	53	3	Defense,Hanging Piece	https://lichess.org/analysis/2r3k1/r2p1pb1/pp2p1pn/1n2P1B1/q1PpQPP1/1N6/PP6/1K1R1BR1_b_-_c3	Defense	14	29. ... dxc3 30. Qxa4 c2+ 31. Kc1 cxd1=Q+ 32. Kxd1
90932	419	41.28	22517	41	3	Mate in 3+	https://lichess.org/analysis/rn2k1nr/pb1pb1pp/2p5/2q1p3/2N1Pp2/P2B1P1P/1PPP2P1/R1BQK1NR_w_KQkq_-	Mate in 3+	17	10. b4 Bh4+ 11. g3 Bxg3+ 12. Ke2 Qf2#
37115	2382	44.36	14694	162	6	Decoy / Deflection,Defense,Endgame Tactics,Fork / Double Attack,Interference,Mating Net	https://lichess.org/analysis/2R1qnN1/8/2P5/3B1p1k/4pP2/4p1P1/8/5K2_b_-_-	Interference	4	1. ... Qxc8 2. Bf7+ Kg4 3. Kg2 Qxc6 4. Bc4 Kh5 5. Be2+ Kg6 6. Ne7+ Kf7 7. Nxc6
151976	400	40.0	4411	20	2	Mate in 2	https://lichess.org/analysis/7k/pR2bpp1/2n5/4P3/r7/3BB1P1/5P1P/6K1_b_-_-	Mate in 2	9	28. ... Nxe5 29. Rb8+ Bd8 30. Rxd8#
366295	723	41.83	29603	49	3	Back Rank,Mate in 3+	https://lichess.org/analysis/r3k2r/pp2ppb1/2p4p/2qpP1p1/4N3/3Q1N1P/PPPR2P1/2K4R_b_kq_-	Back Rank	15	18. ... dxe4 19. Qd7+ Kf8 20. Qd8+ Rxd8 21. Rxd8#
80894	405	40.15	10843	79	2	Mate in 2	https://lichess.org/analysis/Q7/8/5k2/P3nb2/8/r7/2K3PP/8_w_-_-	Mate in 2	8	49. Kb2 Nc4+ 50. Kc1 Ra1#
41509	400	40.88	4899	39	1	Mate in 1	https://lichess.org/analysis/3r1q2/pQ4kp/8/5B2/3n4/P4PP1/7P/4R1K1_b_-_-	Mate in 1	9	31. ... Kh8 32. Qxh7#
46038	798	42.47	46505	59	3	Queen Sacrifice	https://lichess.org/analysis/rn2k2r/pp3ppp/2pqpn2/6Q1/3P4/2PBBR1P/P1P3P1/R5K1_b_kq_-	Queen Sacrifice	17	16. ... Qe7 17. Qxg7 Rg8 18. Qxf6 Qxf6 19. Rxf6
186182	400	40.56	4289	47	2	Mate in 2	https://lichess.org/analysis/1k1r3r/1ppqbp2/p2pb3/6pp/3QP3/2N1B2P/PPP2PP1/R4RK1_b_-_-	Mate in 2	8	18. ... g4 19. Qa7+ Kc8 20. Qa8#
73451	1934	44.93	32973	66	1	Attacking Castled King,Back Rank,Mating Net,Sacrifice,Vulnerable King,Zwischenzug	https://lichess.org/analysis/8/nkp5/p1np3b/1p3q2/4pP2/1P3QP1/PB2B2r/2R2KR1_w_-_-	Attacking Castled King	4	40. Qc3 Bxf4
78764	959	43.4	54346	49	2	Trapped Piece	https://lichess.org/analysis/r1b2rk1/pp2ppbp/3p2p1/8/2NpP1n1/3P1N2/PqPQBPPP/3R1RK1_b_-_-	Trapped Piece	14	13. ... Qxa2 14. Ra1 Qxa1 15. Rxa1
159305	1067	45.41	59198	66	2	Trapped Piece	https://lichess.org/analysis/rn1qk2r/pp2b2p/2p3p1/3pNb1Q/3PnP2/3B4/PPP3PP/RNB2RK1_w_kq_-	Trapped Piece	13	10. Qh6 Bf8 11. Qg5 Nxg5
87398	567	43.58	42351	37	1	Basic Checkmates,Mate in 1	https://lichess.org/analysis/r3kb2/5p1p/p2p1B2/3Bp3/1p6/8/PPn2PrP/3R1K1R_b_q_-	Basic Checkmates	14	20. ... Rg6 21. Bc6#
57712	1147	45.63	65020	34	1	Hanging Piece	https://lichess.org/analysis/r3k2r/pp2n3/1bp4p/3qpp2/5PnP/2PP1R1N/PP2Q1K1/RNB5_w_kq_-	Hanging Piece	2	20. Qxe5 Nxe5
156399	988	44.18	47601	46	1	Mate in 2,Mate in 3+,Mating Net	https://lichess.org/analysis/r3r1k1/ppp2ppp/2p5/2N3Q1/8/6Pq/PPPPbP1P/R1B1R1K1_w_-_-	Mating Net	16	16. Qf4 Bf3
33661	1129	45.06	65032	29	1	Defense,Hanging Piece	https://lichess.org/analysis/1r4k1/p6p/b2p2p1/3P1p2/2p1r3/3B1N1P/PPQ2qPK/R6R_b_-_-	Defense	2	25. ... Qxf3 26. gxf3
74775	693	42.85	46419	31	1	Mate in 1	https://lichess.org/analysis/1rbqk2r/p4p2/B3p3/2bp4/Pp4p1/5nP1/N1PB2NP/1RQ2R1K_w_k_-	Mate in 1	15	22. Bxc8 Rxh2#
45484	1791	45.02	39037	46	2	Hanging Piece,Pin	https://lichess.org/analysis/r2q2k1/p1pnp1bp/1p4p1/1P1R2p1/5r2/QB3N2/PP3PPP/2K4R_b_-_-	Pin	4	17. ... Kh8 18. Rhd1 Qf8 19. Rxd7
87124	1319	45.55	64604	39	3	Basic Checkmates,Mate in 3+,Vulnerable King	https://lichess.org/analysis/rnbq1rk1/ppp3pQ/3bp2p/3np3/3P4/2PB2B1/PP1N1PPP/R4RK1_b_-_-	Basic Checkmates	5	14. ... Kf7 15. Bg6+ Ke7 16. Qxg7+ Rf7 17. Qxf7#
37284	1422	45.51	64820	24	1	Endgame Tactics,Pawn Promotion,Stalemate,Underpromotion	https://lichess.org/analysis/8/RkP5/8/K7/8/8/8/8_b_-_-	Underpromotion	2	1. ... Kxa7 2. c8=R
56449	758	42.16	44461	25	1	Pin	https://lichess.org/analysis/2kr1bBr/nppq4/p2p1p2/6pp/PP1PPpb1/1QP2N1P/3N2P1/R4RK1_b_-_-	Pin	15	14. ... Bxf3 15. Be6
51686	400	40.59	18516	36	1	Mate in 1	https://lichess.org/analysis/r2qkb1r/p7/n1pp4/4p2p/6b1/P2P2P1/1PP1BQ1P/R1B2RK1_b_-_-	Mate in 1	9	16. ... d5 17. Qf7#
29490	2578	44.16	6176	130	5	Mating Net,Vulnerable King	https://lichess.org/analysis/3q2k1/5pp1/p3p1p1/2N2n2/1P1r4/PQ2PBbP/4K1P1/R4R2_w_-_-	Vulnerable King	4	34. Rfc1 Rd2+ 35. Kf1 Bf2 36. Ne4 Nxe3+ 37. Qxe3 Bxe3 38. Nxd2 Qxd2
84288	410	40.0	5401	33	1	Mate in 1	https://lichess.org/analysis/r1b3q1/pp1p1p2/n1k2p2/P1pR4/1PQ3P1/2b1P3/5P1P/2K4R_b_-_-	Mate in 1	8	30. ... Nxb4 31. Qxc5#
47701	735	43.6	54982	38	2	Mate in 2,Pawn Promotion,Queen Sacrifice	https://lichess.org/analysis/r5k1/2p1b1pp/b1p1p3/1q2Pr2/3P4/1NP1R2R/P1QB1PpP/6K1_w_-_-	Queen Sacrifice	15	24. Re1 Qf1+ 25. Rxf1 gxf1=Q#
184756	668	42.8	39974	48	2	Discovered Attack,Hanging Piece	https://lichess.org/analysis/r1bqk2r/pp2bppp/2p2n2/3n4/8/3B1N2/PP1P1PPP/RNB1QRK1_w_kq_-	Discovered Attack	16	11. Nc3 Nxc3 12. bxc3 Qxd3
31539	1059	44.76	65460	28	2	Discovered Attack,Sacrifice,Zwischenzug	https://lichess.org/analysis/1rbb1nk1/5pp1/3p1n1p/3Pp3/2P2P2/1P2B1PP/q1B3QN/1N3RK1_b_-_f3	Zwischenzug	2	29. ... Bxh3 30. Bh7+ Kxh7 31. Qxa2
101834	726	40.63	32827	30	2	Pawn Promotion	https://lichess.org/analysis/8/1P1k4/2n3p1/P1Rp1p1p/2b5/K6P/8/8_b_-_-	Pawn Promotion	16	49. ... f4 50. Rxc6 Kxc6 51. b8=Q
