tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	bpr_cluster	newcluster
39535	1668.0	45.11	50097.0	26.0	2.0	Attacking Castled King,Basic Checkmates,Decoy / Deflection,Mate in 2,Sacrifice,Vulnerable King	https://lichess.org/analysis/2kr3r/pp1q1ppp/2p2p2/3n1b2/1b1P4/1B2B2P/PPPNQPP1/2KRR3_w_-_-	Attacking Castled King	5	9	19
29219	1308.0	45.32	39711.0	32.0	2.0	Discovered Attack,Fork / Double Attack,Hanging Piece,X-Ray Attack	https://lichess.org/analysis/r1bR2B1/p1p3pk/6np/2p1P3/8/2N4P/PPP3P1/5nK1_b_-_-	X-Ray Attack	4	1	14
46171	1581.0	44.99	57861.0	63.0	1.0	Attacking Castled King,Mate in 3+,Mating Net	https://lichess.org/analysis/r3r1k1/1bq3b1/p2n2pp/2p2p2/P2p1P2/2N5/1PPQNBPP/R4RK1_w_-_-	Attacking Castled King	5	9	10
28919	1516.0	45.2	59702.0	38.0	1.0	Attacking Castled King,Mate in 3+,Mating Net,Sacrifice,Vulnerable King,X-Ray Attack,Clearance Sacrifice	https://lichess.org/analysis/r6k/p1p2Q1p/2p1b1rq/4p3/B3P3/4P3/PPP3P1/4RRK1_w_-_-	X-Ray Attack	2	8	11
55328	1857.0	44.89	38257.0	47.0	3.0	Attacking Castled King,Endgame Tactics,Mate in 3+,Mating Net	https://lichess.org/analysis/2r2r2/5pkR/1p2n1p1/p1p5/7Q/2P5/PP3PPP/6K1_b_-_-	Attacking Castled King	4	1	20
77130	432.0	91.25	10204.0	24.0	1.0	Mate in 1	https://lichess.org/analysis/r1b1k2r/ppp2ppp/2n2q2/1N1pp3/1b2n3/1P4PB/P1PP1P1P/R1BQK1NR_w_KQkq_-	Mate in 1	9	5	2
35374	1219.0	45.8	45954.0	112.0	2.0	Overloading	https://lichess.org/analysis/4k3/pq1r1p2/1p2pB2/5p1Q/1PP5/3P4/P6P/6K1_b_-_-	Overloading	12	15	13
129268	894.0	43.78	57368.0	20.0	1.0	Mate in 1	https://lichess.org/analysis/8/5k2/Q2pp1p1/2p4p/1pP1q2P/1P4PK/8/8_w_-_-	Mate in 1	14	6	6
161686	1039.0	44.73	54912.0	62.0	2.0	Exchange Sacrifice	https://lichess.org/analysis/2k1r3/ppp5/2nr1B2/8/2P2p2/P5Pb/Q2NqP1P/2KR3R_w_-_-	Exchange Sacrifice	13	6	6
85512	634.0	41.83	32116.0	27.0	1.0	Discovered Attack	https://lichess.org/analysis/3k3r/p2b2r1/4pp2/1p6/1P1P4/5B1p/4RPPp/R5K1_w_-_-	Discovered Attack	16	13	2
162034	1443.0	45.29	56417.0	31.0	2.0	Decoy / Deflection,Exchange Sacrifice,Mate in 3+,Mating Net,Remove the Defender,Vulnerable King	https://lichess.org/analysis/4r1k1/ppp2p1p/2r3p1/5p2/3q4/1PBn4/P1K2P1P/R2Q1R2_w_-_-	Exchange Sacrifice	5	9	12
151086	1371.0	45.37	65045.0	51.0	2.0	Attacking Castled King,Mating Net,Pin,En passant	https://lichess.org/analysis/r5k1/4rpp1/b1n1p2p/p2pP2Q/6R1/3BqN2/2P3PP/4R2K_b_-_-	En passant	2	8	11
55310	2141.0	44.84	23824.0	72.0	4.0	Defense,Endgame Tactics,Fork / Double Attack,Overloading	https://lichess.org/analysis/8/2b5/8/8/Kp2N3/8/2k5/8_b_-_-	Overloading	4	1	20
65589	416.0	40.0	5331.0	30.0	2.0	Mate in 2	https://lichess.org/analysis/rr4k1/5ppp/4p3/2p1b3/P1N3P1/3p2qP/P4Q2/K4R1R_w_-_-	Mate in 2	9	5	2
55044	1570.0	45.02	49234.0	33.0	1.0	Defense,Mate in 3+,Mating Net,Pin	https://lichess.org/analysis/4r2k/1p6/p2p1p1P/5qpP/P7/1Q3P2/1P1rN1R1/R4K2_w_-_-	Defense	5	9	10
43290	400.0	40.35	5085.0	29.0	1.0	Mate in 1	https://lichess.org/analysis/3b2k1/p2Q1pp1/7p/q1p1p3/4B2P/1PP3P1/P7/7K_b_-_-	Mate in 1	9	4	2
54372	400.0	40.32	4875.0	32.0	2.0	Basic Checkmates,Mate in 2,Queen Sacrifice	https://lichess.org/analysis/1q1r3k/p2n2pp/4bP2/2r5/8/P1B1PBP1/1P1Q3P/3R1RK1_b_-_-	Queen Sacrifice	8	5	2
181640	631.0	42.36	30478.0	55.0	2.0	Mate in 2	https://lichess.org/analysis/r1bq1b1r/ppp3pp/4k3/3Bp3/3n4/P1N2Q2/1P1P1PPP/R1BK3R_b_-_-	Mate in 2	8	20	2
40355	1992.0	44.92	28933.0	62.0	5.0	Basic Checkmates,Discovered Attack,Mate in 3+,Mating Net,Vulnerable King	https://lichess.org/analysis/rnbqr3/pp1pkp2/2p2Q2/4P3/8/3B4/P4PPP/R4RK1_b_-_-	Basic Checkmates	4	1	20
28581	1175.0	46.07	63971.0	40.0	2.0	Decoy / Deflection,Mate in 3+,Mating Net,Overloading,Pawn Promotion,Queen Sacrifice,Remove the Defender	https://lichess.org/analysis/r2qk2r/pppP1ppp/8/nB1n2b1/8/8/PPP1QPPP/RNB1K2R_b_KQkq_-	Overloading	2	7	12
138633	1146.0	45.34	56554.0	46.0	1.0	Defense,Discovered Attack,Trapped Piece	https://lichess.org/analysis/1r3rk1/2p2pp1/1pB4q/pP1pPb2/Q2P2np/P7/3N1PPP/R1B1R1K1_b_-_-	Trapped Piece	14	6	15
35874	1194.0	46.3	65330.0	92.0	3.0	Mate in 3+,Mating Net	https://lichess.org/analysis/r2qk2r/pppbb1pp/2n2R2/4p1N1/2P5/2NBB2P/PP4P1/R2Q2K1_b_kq_-	Mating Net	2	6	15
77735	671.0	41.91	33196.0	34.0	2.0	Mate in 2	https://lichess.org/analysis/r1bqk2r/pp3pQp/2pp4/1BnN4/8/3P4/PPP2PPP/R3K2R_b_KQkq_-	Mate in 2	17	20	2
84644	865.0	42.94	52485.0	66.0	2.0	Fork / Double Attack,Pin	https://lichess.org/analysis/r1b3r1/ppq2p1k/1bp2p1p/7Q/2N1P3/2PP4/P2N1PPP/R4RK1_w_-_-	Pin	15	17	8
